word,pos,level,mp3_url
addition,noun,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addit/addition__gb_1.mp3
additional,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addit/additional__gb_1.mp3
additionally,adverb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addit/additionally__gb_1.mp3
address,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addre/address__gb_3.mp3
address,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/add/addre/address__gb_3.mp3
adequate,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ade/adequ/adequate__gb_3.mp3
adequately,adverb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ade/adequ/adequately__gb_1.mp3
adhere,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adh/adher/adhere__gb_1.mp3
adjacent,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjac/adjacent__gb_1.mp3
adjust,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjus/adjust__gb_2.mp3
adjustment,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adj/adjus/adjustment__gb_1.mp3
administer,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administer__gb_2.mp3
administration,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administration__gb_2.mp3
administrative,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administrative__gb_1.mp3
administrator,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admin/administrator__gb_1.mp3
admire,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admir/admire__gb_1.mp3
admission,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admis/admission__gb_1.mp3
admit,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adm/admit/admit__gb_1.mp3
adolescent,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adole/adolescent__gb_1.mp3
adopt,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adopt/adopt__gb_1.mp3
adoption,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/ado/adopt/adoption__gb_1.mp3
adult,adjective,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3
adult,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adu/adult/adult__gb_3.mp3
advance,adjective,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advance,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advance,verb,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advance__gb_1.mp3
advanced,adjective,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advanced__gb_1.mp3
advantage,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advan/advantage__gb_4.mp3
adventure,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adven/adventure__gb_1.mp3
adverse,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/adverse__gb_1.mp3
advertise,verb,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertise__gb_1.mp3
advertisement,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertisement__gb_1.mp3
advertising,noun,a2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/adver/advertising__gb_1.mp3
advice,noun,a1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advic/advice__gb_1.mp3
advise,verb,b1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advis/advise__gb_2.mp3
advocate,noun,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advoc/advocate__gb_2.mp3
advocate,verb,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/adv/advoc/advocate__gb_4.mp3
aesthetic,adjective,c1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aes/aesth/aesthetic__gb_1.mp3
affair,noun,b2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aff/affai/affair__gb_1.mp3
